Year;Month;GHId;GHIm;DNId;DNIm;DIFd;DIFm;GTId;GTIm;TEMP;WS;RH;AP;PWAT
1994;01;2.969;92.0;5.106;158.3;0.932;28.9;4.988;154.6;9.5;2.2;62.4;949.1;8.4
1994;02;3.908;109.4;5.471;153.2;1.233;34.5;5.700;159.6;10.9;2.2;57.9;944.8;8.2
1994;03;5.119;158.7;5.739;177.9;1.791;55.5;6.329;196.2;13.7;2.0;62.2;949.6;11.5
1994;04;6.552;196.6;7.521;225.6;1.698;50.9;7.075;212.2;14.8;2.2;49.3;944.4;10.0
1994;05;7.036;218.1;6.917;214.4;2.208;68.4;6.834;211.9;20.6;2.0;46.3;942.7;14.5
1994;06;8.101;243.0;8.002;240.1;2.335;70.0;7.473;224.2;23.4;2.2;44.2;947.4;15.1
1994;07;7.583;235.1;6.410;198.7;2.848;88.3;7.233;224.2;28.1;1.7;44.3;945.7;18.3
1994;08;6.852;212.4;6.523;202.2;2.359;73.1;7.097;220.0;28.1;1.8;46.8;944.9;20.4
1994;09;5.818;174.5;7.019;210.6;1.548;46.4;6.846;205.4;21.6;1.9;53.7;944.3;15.9
1994;10;3.393;105.2;3.550;110.0;1.564;48.5;4.449;137.9;17.8;1.8;76.6;944.7;20.5
1994;11;3.090;92.7;4.992;149.8;0.974;29.2;4.976;149.3;14.9;1.8;73.3;949.3;13.8
1994;12;2.769;85.8;5.300;164.3;0.802;24.9;4.976;154.3;11.5;1.7;63.2;952.7;10.3
1995;01;3.056;94.7;5.688;176.3;0.815;25.3;5.278;163.6;11.0;2.0;54.0;952.4;8.4
1995;02;3.955;110.7;6.041;169.1;1.122;31.4;5.877;164.6;13.5;2.1;56.4;949.9;10.2
1995;03;4.970;154.1;6.032;187.0;1.499;46.5;6.162;191.0;12.8;2.5;63.9;945.9;10.2
1995;04;6.429;192.9;7.004;210.1;1.926;57.8;6.953;208.6;14.7;2.2;52.5;944.0;10.6
1995;05;7.190;222.9;6.837;211.9;2.382;73.8;6.935;215.0;20.1;2.2;49.6;944.9;15.6
1995;06;7.297;218.9;6.458;193.7;2.572;77.2;6.773;203.2;21.9;2.1;58.2;943.8;19.9
1995;07;7.885;244.4;7.755;240.4;2.341;72.6;7.459;231.2;26.4;2.0;47.1;944.6;18.7
1995;08;6.878;213.2;6.965;215.9;2.145;66.5;7.067;219.1;25.9;1.7;58.4;944.6;22.5
1995;09;5.575;167.2;6.694;200.8;1.605;48.1;6.596;197.9;21.0;1.8;55.1;944.9;16.6
1995;10;3.971;123.1;4.374;135.6;1.705;52.9;5.245;162.6;18.8;1.8;68.6;949.4;17.4
1995;11;2.726;81.8;3.453;103.6;1.263;37.9;4.088;122.6;15.1;1.9;65.3;946.0;13.9
1995;12;2.202;68.3;3.458;107.2;0.912;28.3;3.668;113.7;12.0;2.1;77.5;943.0;14.0
1996;01;2.437;75.5;3.424;106.1;1.048;32.5;3.841;119.1;11.2;2.3;77.3;938.5;12.3
1996;02;3.761;109.1;5.614;162.8;1.088;31.6;5.519;160.1;9.4;2.4;65.1;943.8;8.2
1996;03;4.802;148.9;5.549;172.0;1.543;47.8;5.865;181.8;12.4;2.1;64.9;941.6;11.6
1996;04;5.805;174.2;5.612;168.4;2.194;65.8;6.214;186.4;15.3;1.9;63.0;943.3;12.9
1996;05;6.905;214.1;7.234;224.3;2.048;63.5;6.552;203.1;18.0;2.2;54.2;943.2;13.3
1996;06;7.956;238.7;7.613;228.4;2.519;75.6;7.332;220.0;22.6;2.3;50.8;947.8;16.2
1996;07;7.735;239.8;7.441;230.7;2.399;74.4;7.331;227.3;25.5;2.2;50.2;946.6;19.5
1996;08;7.105;220.3;7.590;235.3;2.009;62.3;7.343;227.6;25.1;1.9;56.9;944.7;20.2
1996;09;4.896;146.9;5.082;152.5;1.803;54.1;5.789;173.7;20.5;2.0;64.1;943.8;19.5
1996;10;4.262;132.1;5.862;181.7;1.255;38.9;5.885;182.4;17.2;1.6;63.8;948.0;13.9
1996;11;3.056;91.7;5.002;150.1;0.960;28.8;4.946;148.4;13.8;2.1;65.5;947.0;11.7
1996;12;2.002;62.1;3.015;93.5;0.887;27.5;3.271;101.4;10.8;2.0;78.1;939.1;13.0
1997;01;2.110;65.4;2.573;79.8;1.083;33.6;3.182;98.6;9.9;2.0;79.1;944.6;12.3
1997;02;4.172;116.8;6.461;180.9;1.058;29.6;6.183;173.1;12.9;1.6;64.8;955.5;9.7
1997;03;5.627;174.4;7.507;232.7;1.439;44.6;7.131;221.1;13.9;2.1;54.9;951.2;9.2
1997;04;5.358;160.7;5.340;160.2;1.938;58.1;5.697;170.9;16.2;2.1;62.9;944.5;15.3
1997;05;6.955;215.6;6.509;201.8;2.380;73.8;6.743;209.0;19.2;2.0;58.2;943.6;16.0
1997;06;7.939;238.2;8.363;250.9;2.060;61.8;7.275;218.2;23.6;2.0;50.3;941.8;18.8
1997;07;7.841;243.1;8.186;253.8;2.131;66.1;7.372;228.5;24.2;2.1;49.1;946.2;18.0
1997;08;6.584;204.1;6.875;213.1;2.026;62.8;6.768;209.8;25.2;2.0;50.7;945.9;20.0
1997;09;5.078;152.3;5.345;160.3;1.834;55.0;5.844;175.3;22.4;2.2;66.2;947.2;21.2
1997;10;4.003;124.1;5.019;155.6;1.427;44.2;5.439;168.6;19.2;1.7;71.1;945.5;19.4
1997;11;2.775;83.2;4.166;125.0;1.043;31.3;4.361;130.8;14.3;2.3;71.8;941.8;14.7
1997;12;2.280;70.7;3.910;121.2;0.808;25.0;3.912;121.3;11.1;2.0;75.1;945.3;12.4
1998;01;2.605;80.8;4.081;126.5;1.006;31.2;4.234;131.3;10.6;1.9;74.8;947.8;10.4
1998;02;3.466;97.0;4.808;134.6;1.139;31.9;4.940;138.3;11.5;1.9;72.3;952.4;11.7
1998;03;5.378;166.7;6.644;206.0;1.545;47.9;6.769;209.8;14.4;1.7;52.3;950.7;10.4
1998;04;6.511;195.3;7.373;221.2;1.751;52.5;7.015;210.5;15.9;2.3;50.0;941.5;11.6
1998;05;5.825;180.6;4.787;148.4;2.553;79.1;5.565;172.5;17.5;1.8;62.3;942.9;16.3
1998;06;7.877;236.3;7.648;229.4;2.397;71.9;7.259;217.8;23.5;1.9;55.3;946.5;19.1
1998;07;8.212;254.6;8.599;266.6;2.144;66.5;7.744;240.1;26.6;1.9;47.6;945.2;18.7
